Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Net Assets
124,5957,Ad. Tanaji Sukdeo Jaibhave,NASHIK,CPI(M),0,Graduate Professional,7279479,2369620,4909859
125,616,Adagooru H Vishwanath,MYSORE,INC,0,Graduate Professional,30187177,0,30187177
126,6696,Adarsh Shashtri,LUCKNOW,IND,0,Post Graduate,18879925,6107118,12772807
127,3391,Adhalrao Shivaji Dattatrey,SHIRUR,SHS,10,Post Graduate,253598315,61810866,191787449
128,5287,Aditya Kiritkumar Raval,AHMEDABAD EAST,Vishva Hindustani Sangathan,1,12th Pass,642000,50000,592000
129,1015,Aditya Narayan,NAWADA,IND,0,Graduate,15770000,0,15770000
130,5931,Aditya Rajan Shirodkar,MUMBAI SOUTH CENTRAL,MNS,6,Graduate,22850061,5811022,17039039
131,315,Adsul Anandrao Vithoba,AMRAVATI,SHS,1,Graduate,32596257,1587104,31009153
132,3649,Adv Dipak Dattaram Nevgi,RATNAGIRI SINDHUDURG,Socialist Party (India),0,Post Graduate,13431575,92000,13339575
133,1909,Adv. A. Jayaram,THRISSUR,BSP,0,Graduate Professional,24702613,628000,24074613
134,3328,Adv. Ajay Sitaram Karande Patil,PARBHANI,SP,0,Post Graduate,9510000,330000,9180000
135,780,Adv. Bandya Sane Alias Bandu Sampatrao Sane,AMRAVATI,IND,0,Post Graduate,31300,0,31300
136,1213,Adv. Basheer Alady,KASARAGOD,BSP,0,Post Graduate,785138,0,785138
137,1976,Adv. Chirayinkeezhu Gopinathan,ATTINGAL,RPI(A),0,Graduate Professional,920662,100000,820662
138,3310,Adv. Deelip Kulkarni,NANDED,IND,0,Graduate Professional,2990000,50000,2940000
139,3022,Adv. Jawahar Leonardo Dias,SOUTH GOA,Goemcarancho Otrec Astro,1,Post Graduate,564223740,484000,563739740
140,3658,Adv. K. D. Shinde,SANGLI,JD(S),0,Post Graduate,4387851,600000,3787851
141,1975,Adv. M. R. Sarin,ATTINGAL,JD(U),0,Graduate Professional,790325,87000,703325
142,3404,Adv. Mahendra Dadasaheb Shinde,SHIRDI,BSP,0,Doctorate,52137,90000,0
143,286,Adv. N.Sreeprakash,MALAPPURAM,BJP,0,Graduate Professional,6781097,317500,6463597
144,1989,Adv. Narendra Keshav Sawaikar,SOUTH GOA,BJP,0,Graduate Professional,6260382,0,6260382
145,1858,Adv. P. P. A. Sageer,WAYANAD,AAP,0,Graduate Professional,4539401,57788,4481613
146,2487,Adv. Peelipose Thomas,PATHANAMTHITTA,IND,1,Graduate Professional,5648161,928336,4719825
147,2508,Adv. Perurkada Harikumar,THIRUVANANTHAPURAM,SHS,4,Graduate Professional,2511500,0,2511500
148,931,Adv. Prabhakar Mahaguji Dadmal,GADCHIROLI-CHIMUR,RPI,0,Post Graduate,560000,0,560000
149,1986,Adv. Raju Mangeshkar,SOUTH GOA,CPI,1,Graduate Professional,4904426,0,4904426
150,1381,Adv. Ravindra Dnyandeo Bhojane,BULDHANA,Aambedakarite Party of India,0,Graduate Professional,119757,0,119757
151,3694,Adv. Sanjeev Sidram Sadafule,SOLAPUR,BSP,0,Graduate Professional,2397559,625000,1772559
152,3568,Adv. Savita Balkrishna Shinde,MADHA,AAP,0,Graduate Professional,2737166,0,2737166
153,3593,Adv. Shailendra Rameshwar Yavalkar,OSMANABAD,SP,0,Graduate Professional,22243300,1125000,21118300
154,3664,Adv. Varsha Madgulkar,SATARA,IND,0,Graduate Professional,13052635,8706000,4346635
155,169,Adv.A.N.Shamseer,VADAKARA,CPI(M),0,Graduate Professional,1330825,0,1330825
156,694,Adv.Bindhu Krishna,ATTINGAL,INC,2,Post Graduate,3764729,853967,2910762
157,1464,Adv.Dadasaheb Alias Dhanu Bhikaji Walthare,BHANDARA-GONDIYA,IND,0,Graduate Professional,5395083,0,5395083
158,706,Adv.Dean Kuriakose,IDUKKI,INC,1,Not Given,314050,411719,0
159,712,Adv.Joice George,IDUKKI,IND,4,Graduate Professional,17396207,9417720,7978487
160,323,Adv.M.A.Bindu,ALAPPUZHA,SUCI(C),0,Graduate Professional,3543000,0,3543000
161,703,Adv.P.K.Jayakrishnan,MAVELIKKARA,BSP,0,Post Graduate,15410000,400000,15010000
162,959,Adv.P.Sudheer,MAVELIKKARA,BJP,8,Graduate Professional,329804,0,329804
163,699,Adv.S.Prahladan,KOLLAM,BSP,0,Graduate Professional,21645000,0,21645000
164,5843,Adv.Shinde Ashok Dagdu,JALGAON,Prabuddha Republican Party,0,Post Graduate,50000,0,50000
165,2578,Adv.Shivajirao Shivaramji Moghe,YAVATMAL-WASHIM,INC,2,Graduate Professional,42689718,11315807,31373911
166,7256,Adv.Sobji Devalya Gavit,NANDURBAR,IND,0,Graduate Professional,10100000,80000,10020000
167,3569,Adv.Subhash Balasaheb Patil (Anna),MADHA,Bahujan Mukti Party,1,Post Graduate,8581681,1502262,7079419
168,5519,Afzal Siddiqui,FATEHPUR,BSP,0,12th Pass,60732397,0,60732397
169,6819,Aga Syed Mohsin,SRINAGAR,IND,0,Others,6550000,0,6550000
170,6792,Agasty Pradip,BARDHAMAN-DURGAPUR,INC,2,Graduate Professional,36099151,8784830,27314321
171,3873,Aghav Jayprakash Sitaram,BEED,IND,3,10th Pass,151000,0,151000
172,7078,Agoram. K,MAYILADUTHURAI,Pattali Makkal Katchi,8,Graduate,6097180,3045000,3052180
173,5867,Agrawal Kunjbihari Jugalkishor,JALNA,SP,4,Graduate,50158221,272883,49885338
174,5147,Ahamad Aziz Ahamad Mateen,AURANGABAD,IND,0,8th Pass,240000,0,240000
175,2093,Aherwan Dharmender Rawat,FARIDABAD,IND,0,12th Pass,6109500,335000,5774500
176,926,Ahir Hansraj Gangaram,CHANDRAPUR,BJP,11,10th Pass,15548000,99500,15448500
177,4714,Ahmad Hussain Ansari,DHANBAD,Jharkhand Disom Party,0,Graduate Professional,11286622,0,11286622
178,1508,Ahmad Parvez Iqbal Ahmad Nur Mohammad,YAVATMAL-WASHIM,SP,1,Graduate,3957500,0,3957500
179,2081,Ahshan Ali,GURGAON,IND,0,Graduate,2090000,0,2090000
180,5939,Aiyyar Ganesh Rangayya,MUMBAI SOUTH CENTRAL,BSP,0,Graduate Professional,34200185,2650000,31550185
181,4434,Ajad Ali,GAUHATI,IND,0,Others,1271997,536237,735760
182,150,Ajad Geeta Prasad Sharma,NAWADA,IND,0,12th Pass,7080000,0,7080000
183,2531,Ajaj Julmoin Khan (Ajaj Khan),NAGPUR,IND,1,12th Pass,137000,0,137000
184,5791,Ajay Agrawal,RAE BARELI,BJP,0,Graduate Professional,17365819,0,17365819
185,729,Ajay Arjun Singh,SATNA,INC,2,Post Graduate,254876883,13845072,241031811
186,2847,Ajay Kumar,JAMSHEDPUR,JVM(P),7,Graduate Professional,124349901,6979341,117370560
187,2320,Ajay Kumar,CHURU,IND,0,Post Graduate,4926438,0,4926438
